"TypeCode","FreqCode","RefPeriodId","RefYear","RefMonth","Period","ReporterCode","ReporterISO","ReporterDesc","FlowCode","FlowDesc","PartnerCode","PartnerISO","PartnerDesc","Partner2Code","Partner2ISO","Partner2Desc","ClassificationCode","ClassificationSearchCode","IsOriginalClassification","CmdCode","CmdDesc","AggrLevel","IsLeaf","CustomsCode","CustomsDesc","MosCode","MotCode","MotDesc","QtyUnitCode","QtyUnitAbbr","Qty","IsQtyEstimated","AltQtyUnitCode","AltQtyUnitAbbr","AtlQty","IsAltQtyEstimated","NetWgt","IsNetWgtEstimated","GrossWgt","IsGrossWgtEstimated","Cifvalue","Fobvalue","PrimaryValue","LegacyEstimationFlag","IsReported","IsAggregate",
"C","A","20110101","2011","52","2011","24","AGO","Angola","M","Import","0","W00","World","0","W00","World","H3","HS","true","0501","Human hair; unworked, whether or not washed or scoured; waste of human hair","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","12961","false","-1","N/A",,"false","12961","false",,"false","2803",,"2803","0","true","false",
"C","A","20110101","2011","52","2011","36","AUS","Australia","M","Import","0","W00","World","0","W00","World","H3","HS","true","0501","Human hair; unworked, whether or not washed or scoured; waste of human hair","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1150","false","-1","N/A",,"false","1150","false",,"false",,"73417","73417","0","true","false",
"C","A","20110101","2011","52","2011","40","AUT","Austria","M","Import","0","W00","World","0","W00","World","H3","HS","true","0501","Human hair; unworked, whether or not washed or scoured; waste of human hair","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1306","true","-1","N/A",,"false","1306","true",,"false","918696",,"918696","6","true","false",
"C","A","20110101","2011","52","2011","44","BHS","Bahamas","M","Import","0","W00","World","0","W00","World","H3","HS","true","0501","Human hair; unworked, whether or not washed or scoured; waste of human hair","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","3095","false","-1","N/A",,"false","3095","false",,"false","27342",,"27342","0","true","false",
"C","A","20110101","2011","52","2011","48","BHR","Bahrain","M","Import","0","W00","World","0","W00","World","H3","HS","true","0501","Human hair; unworked, whether or not washed or scoured; waste of human hair","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","14","false","-1","N/A",,"false","14","false",,"false","1144",,"1144","0","true","false",
"C","A","20110101","2011","52","2011","51","ARM","Armenia","M","Import","0","W00","World","0","W00","World","H3","HS","true","0501","Human hair; unworked, whether or not washed or scoured; waste of human hair","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","0","false","-1","N/A",,"false",,"false",,"false","70",,"70","0","true","false",
"C","A","20110101","2011","52","2011","56","BEL","Belgium","M","Import","0","W00","World","0","W00","World","H3","HS","true","0501","Human hair; unworked, whether or not washed or scoured; waste of human hair","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","3061","false","-1","N/A",,"false","3061","false",,"false","179981",,"179981","0","true","false",
"C","A","20110101","2011","52","2011","60","BMU","Bermuda","M","Import","0","W00","World","0","W00","World","H3","HS","true","0501","Human hair; unworked, whether or not washed or scoured; waste of human hair","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","21","true","-1","N/A",,"false","21","true",,"false","3661",,"3661","6","true","false",
"C","A","20110101","2011","52","2011","70","BIH","Bosnia Herzegovina","M","Import","0","W00","World","0","W00","World","H3","HS","true","0501","Human hair; unworked, whether or not washed or scoured; waste of human hair","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","6","false","-1","N/A",,"false","6","false",,"false","292",,"292","0","true","false",
"C","A","20110101","2011","52","2011","72","BWA","Botswana","M","Import","0","W00","World","0","W00","World","H2","HS","true","0501","Human hair; unworked, whether or not washed or scoured; waste of human hair","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false",,"true","0","false","45698.625",,"45698.625","6","false","true",
"C","A","20110101","2011","52","2011","76","BRA","Brazil","M","Import","0","W00","World","0","W00","World","H3","HS","true","0501","Human hair; unworked, whether or not washed or scoured; waste of human hair","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","88207","false","8","kg","88207","false","88226","false","0","false","1741778","1353753","1741778","0","false","true",
"C","A","20110101","2011","52","2011","90","SLB","Solomon Isds","M","Import","0","W00","World","0","W00","World","H2","HS","true","0501","Human hair; unworked, whether or not washed or scoured; waste of human hair","4","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","8","kg","0.852","true","-1","N/A","0","false","0.852","true",,"false","161.337",,"161.337","0","false","true",
"C","A","20110101","2011","52","2011","100","BGR","Bulgaria","M","Import","0","W00","World","0","W00","World","H3","HS","true","0501","Human hair; unworked, whether or not washed or scoured; waste of human hair","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","11","true","-1","N/A",,"false","11","true",,"false","11076",,"11076","6","true","false",
"C","A","20110101","2011","52","2011","104","MMR","Myanmar","M","Import","0","W00","World","0","W00","World","H3","HS","true","0501","Human hair; unworked, whether or not washed or scoured; waste of human hair","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false","1828","true",,"false","324172",,"324172","4","true","false",
"C","A","20110101","2011","52","2011","124","CAN","Canada","M","Import","0","W00","World","0","W00","World","H3","HS","true","0501","Human hair; unworked, whether or not washed or scoured; waste of human hair","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","18784","false","-1","N/A",,"false","18784","false",,"false",,"282604","282604","0","true","false",
"C","A","20110101","2011","52","2011","144","LKA","Sri Lanka","M","Import","0","W00","World","0","W00","World","H3","HS","true","0501","Human hair; unworked, whether or not washed or scoured; waste of human hair","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1521","true","-1","N/A",,"false","1521","true",,"false","11101",,"11101","6","true","false",
"C","A","20110101","2011","52","2011","152","CHL","Chile","M","Import","0","W00","World","0","W00","World","H3","HS","true","0501","Human hair; unworked, whether or not washed or scoured; waste of human hair","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","9.762","false","8","kg","9.762","false","9.762","false","0","false","2249.74","2105.2","2249.74","0","false","true",
"C","A","20110101","2011","52","2011","170","COL","Colombia","M","Import","0","W00","World","0","W00","World","H3","HS","true","0501","Human hair; unworked, whether or not washed or scoured; waste of human hair","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1","false","-1","N/A",,"false","1","false",,"false","4214",,"4214","0","true","false",
"C","A","20110101","2011","52","2011","174","COM","Comoros","M","Import","0","W00","World","0","W00","World","H2","HS","true","0501","Human hair; unworked, whether or not washed or scoured; waste of human hair","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","50","false","8","kg","50","false","50","false","0","false","42.331",,"42.331","0","false","true",
"C","A","20110101","2011","52","2011","178","COG","Congo","M","Import","0","W00","World","0","W00","World","H2","HS","true","0501","Human hair; unworked, whether or not washed or scoured; waste of human hair","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1652","false","-1","N/A",,"false","1652","false",,"false","1104",,"1104","0","true","false",
"C","A","20110101","2011","52","2011","196","CYP","Cyprus","M","Import","0","W00","World","0","W00","World","H3","HS","true","0501","Human hair; unworked, whether or not washed or scoured; waste of human hair","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1530","false","-1","N/A",,"false","1530","false",,"false","235062",,"235062","0","true","false",
"C","A","20110101","2011","52","2011","203","CZE","Czechia","M","Import","0","W00","World","0","W00","World","H3","HS","true","0501","Human hair; unworked, whether or not washed or scoured; waste of human hair","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","693","false","-1","N/A",,"false","693","false",,"false","216093",,"216093","0","true","false",
"C","A","20110101","2011","52","2011","208","DNK","Denmark","M","Import","0","W00","World","0","W00","World","H3","HS","true","0501","Human hair; unworked, whether or not washed or scoured; waste of human hair","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1228","false","-1","N/A",,"false","1228","false",,"false","100316",,"100316","0","true","false",
"C","A","20110101","2011","52","2011","218","ECU","Ecuador","M","Import","0","W00","World","0","W00","World","H3","HS","true","0501","Human hair; unworked, whether or not washed or scoured; waste of human hair","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1027","false","-1","N/A",,"false","1027","false",,"false","11364",,"11364","0","true","false",
"C","A","20110101","2011","52","2011","231","ETH","Ethiopia","M","Import","0","W00","World","0","W00","World","H3","HS","true","0501","Human hair; unworked, whether or not washed or scoured; waste of human hair","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","6","false","8","kg","6","false","6","false","0","false","1082.011",,"1082.011","0","false","true",
"C","A","20110101","2011","52","2011","233","EST","Estonia","M","Import","0","W00","World","0","W00","World","H3","HS","true","0501","Human hair; unworked, whether or not washed or scoured; waste of human hair","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","899","false","-1","N/A",,"false","899","false",,"false","15155",,"15155","0","true","false",
"C","A","20110101","2011","52","2011","251","FRA","France","M","Import","0","W00","World","0","W00","World","H3","HS","true","0501","Human hair; unworked, whether or not washed or scoured; waste of human hair","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","243076","true","-1","N/A",,"false","243076","true",,"false","1171463",,"1171463","6","true","false",
"C","A","20110101","2011","52","2011","270","GMB","Gambia","M","Import","0","W00","World","0","W00","World","H3","HS","true","0501","Human hair; unworked, whether or not washed or scoured; waste of human hair","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","4092","false","8","kg","4092","false","4092","false","0","false","2137.94",,"2137.94","0","false","true",
"C","A","20110101","2011","52","2011","276","DEU","Germany","M","Import","0","W00","World","0","W00","World","H3","HS","true","0501","Human hair; unworked, whether or not washed or scoured; waste of human hair","4","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","8","kg","6273.63","true","-1","N/A","0","false","6273.63","true",,"false","1451582.329",,"1451582.329","0","false","true",
"C","A","20110101","2011","52","2011","288","GHA","Ghana","M","Import","0","W00","World","0","W00","World","H3","HS","true","0501","Human hair; unworked, whether or not washed or scoured; waste of human hair","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","81","false","-1","N/A",,"false","81","false",,"false","2190",,"2190","0","true","false",
"C","A","20110101","2011","52","2011","300","GRC","Greece","M","Import","0","W00","World","0","W00","World","H3","HS","true","0501","Human hair; unworked, whether or not washed or scoured; waste of human hair","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","92","false","-1","N/A",,"false","92","false",,"false","6814",,"6814","0","true","false",
"C","A","20110101","2011","52","2011","328","GUY","Guyana","M","Import","0","W00","World","0","W00","World","H3","HS","true","0501","Human hair; unworked, whether or not washed or scoured; waste of human hair","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","25","false","-1","N/A",,"false","25","false",,"false","417",,"417","0","true","false",
"C","A","20110101","2011","52","2011","344","HKG","China","M","Import","0","W00","World","0","W00","World","H3","HS","true","0501","Human hair; unworked, whether or not washed or scoured; waste of human hair","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","36668","false","-1","N/A",,"false","36668","false",,"false","3251038",,"3251038","0","true","false",
"C","A","20110101","2011","52","2011","348","HUN","Hungary","M","Import","0","W00","World","0","W00","World","H3","HS","true","0501","Human hair; unworked, whether or not washed or scoured; waste of human hair","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","34","true","-1","N/A",,"false","34","true",,"false","6000",,"6000","6","true","false",
"C","A","20110101","2011","52","2011","352","ISL","Iceland","M","Import","0","W00","World","0","W00","World","H3","HS","true","0501","Human hair; unworked, whether or not washed or scoured; waste of human hair","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","12","false","-1","N/A",,"false","12","false",,"false","1055",,"1055","0","true","false",
