"TypeCode","FreqCode","RefPeriodId","RefYear","RefMonth","Period","ReporterCode","ReporterISO","ReporterDesc","FlowCode","FlowDesc","PartnerCode","PartnerISO","PartnerDesc","Partner2Code","Partner2ISO","Partner2Desc","ClassificationCode","ClassificationSearchCode","IsOriginalClassification","CmdCode","CmdDesc","AggrLevel","IsLeaf","CustomsCode","CustomsDesc","MosCode","MotCode","MotDesc","QtyUnitCode","QtyUnitAbbr","Qty","IsQtyEstimated","AltQtyUnitCode","AltQtyUnitAbbr","AtlQty","IsAltQtyEstimated","NetWgt","IsNetWgtEstimated","GrossWgt","IsGrossWgtEstimated","Cifvalue","Fobvalue","PrimaryValue","LegacyEstimationFlag","IsReported","IsAggregate",
"C","A","20220101","2022","52","2022","24","AGO","Angola","X","Export","56","BEL","Belgium","0","W00","World","H5","HS","true","0501","Human hair; unworked, whether or not washed or scoured; waste of human hair","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2","false","8","kg","2","false","2","false","0","false",,"217.123","217.123","0","false","true",
"C","A","20220101","2022","52","2022","36","AUS","Australia","X","Export","276","DEU","Germany","0","W00","World","H6","HS","true","0501","Human hair; unworked, whether or not washed or scoured; waste of human hair","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","0.5","false","8","kg","0.5","false","0.5","false","0.5","false",,"1394.915","1394.915","0","false","true",
"C","A","20220101","2022","52","2022","36","AUS","Australia","X","Export","484","MEX","Mexico","0","W00","World","H6","HS","true","0501","Human hair; unworked, whether or not washed or scoured; waste of human hair","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1","false","8","kg","1","false","1","false","1","false",,"1387.285","1387.285","0","false","true",
"C","A","20220101","2022","52","2022","36","AUS","Australia","X","Export","554","NZL","New Zealand","0","W00","World","H6","HS","true","0501","Human hair; unworked, whether or not washed or scoured; waste of human hair","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","32","false","8","kg","32","false","32","false","32","false",,"26968.827","26968.827","0","false","true",
"C","A","20220101","2022","52","2022","36","AUS","Australia","X","Export","842","USA","USA","0","W00","World","H6","HS","true","0501","Human hair; unworked, whether or not washed or scoured; waste of human hair","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2","false","8","kg","2","false","2","false","2","false",,"3190.756","3190.756","0","false","true",
"C","A","20220101","2022","52","2022","56","BEL","Belgium","X","Export","376","ISR","Israel","0","W00","World","H6","HS","true","0501","Human hair; unworked, whether or not washed or scoured; waste of human hair","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","10.35","false","8","kg","10.35","false","10.35","false","0","false",,"4693.638","4693.638","0","false","true",
"C","A","20220101","2022","52","2022","56","BEL","Belgium","X","Export","757","CHE","Switzerland","0","W00","World","H6","HS","true","0501","Human hair; unworked, whether or not washed or scoured; waste of human hair","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1","false","8","kg","1","false","1","false","0","false",,"43.702","43.702","0","false","true",
"C","A","20220101","2022","52","2022","56","BEL","Belgium","X","Export","826","GBR","United Kingdom","0","W00","World","H6","HS","true","0501","Human hair; unworked, whether or not washed or scoured; waste of human hair","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2.9","false","8","kg","2.9","false","2.9","false","0","false",,"7244.975","7244.975","0","false","true",
"C","A","20220101","2022","52","2022","56","BEL","Belgium","X","Export","842","USA","USA","0","W00","World","H6","HS","true","0501","Human hair; unworked, whether or not washed or scoured; waste of human hair","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","4.9","false","8","kg","4.9","false","4.9","false","0","false",,"3026.809","3026.809","0","false","true",
"C","A","20220101","2022","52","2022","72","BWA","Botswana","X","Export","36","AUS","Australia","0","W00","World","H6","HS","true","0501","Human hair; unworked, whether or not washed or scoured; waste of human hair","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","5","false","8","kg","5","false","1","false","0","false",,"3.971","3.971","0","false","true",
